accuracy,precision,recall,f1,pr_auc,confusion_matrix,roc_auc,method,scarcity,seed,institutions,lambda,partition_method,experiment,degradation_f1
0.9086744918408245,0.8333333333333334,0.08064516129032258,0.14705882352941177,0.49503639999227195,"[[6293, 11], [627, 55]]",0.8668843130833469,fedavg,0.1,42,3,0.0,graph_aware,main_scarcity,0.2541733674601916
0.9079587746922416,0.8545454545454545,0.0689149560117302,0.12754409769335143,0.4990418568673637,"[[6296, 8], [635, 47]]",0.8679930910132934,fedavg_boundary,0.1,42,3,0.05,graph_aware,main_scarcity,0.2747680410349723
0.9023761809332952,0.0,0.0,0.0,0.2865872806004185,"[[6304, 0], [682, 0]]",0.8075914421974782,local_only,0.05,42,3,0.0,graph_aware,main_scarcity,0.4988797610156833
0.9023761809332952,0.0,0.0,0.0,0.2766104004496777,"[[6304, 0], [682, 0]]",0.751293574251604,fedavg,0.05,42,3,0.0,graph_aware,main_scarcity,0.4012321909896034
0.9023761809332952,0.0,0.0,0.0,0.2639114053747953,"[[6304, 0], [682, 0]]",0.7504454184467898,fedavg_boundary,0.05,42,3,0.05,graph_aware,main_scarcity,0.4023121387283237
0.9023761809332952,0.0,0.0,0.0,0.22594638101544542,"[[6304, 0], [682, 0]]",0.7717451424966879,local_only,0.01,42,3,0.0,graph_aware,main_scarcity,0.4988797610156833
0.9023761809332952,0.0,0.0,0.0,0.20364806799629956,"[[6304, 0], [682, 0]]",0.7103919496256159,fedavg,0.01,42,3,0.0,graph_aware,main_scarcity,0.4012321909896034
0.9023761809332952,0.0,0.0,0.0,0.18432545574265774,"[[6304, 0], [682, 0]]",0.6938120329502657,fedavg_boundary,0.01,42,3,0.05,graph_aware,main_scarcity,0.4023121387283237
0.9086744918408245,0.8333333333333334,0.08064516129032258,0.14705882352941177,0.49503639999227195,"[[6293, 11], [627, 55]]",0.8668843130833469,fedavg_boundary,0.1,42,3,0.0,graph_aware,lambda_ablation,
0.9085313484111079,0.864406779661017,0.0747800586510264,0.13765182186234817,0.4975033659071454,"[[6296, 8], [631, 51]]",0.8671920355925391,fedavg_boundary,0.1,42,3,0.01,graph_aware,lambda_ablation,
0.9079587746922416,0.8545454545454545,0.0689149560117302,0.12754409769335143,0.4990418568673637,"[[6296, 8], [635, 47]]",0.8679930910132934,fedavg_boundary,0.1,42,3,0.05,graph_aware,lambda_ablation,
0.9075293444030919,0.8461538461538461,0.06451612903225806,0.11989100817438691,0.5004731873479519,"[[6296, 8], [638, 44]]",0.8685350361730949,fedavg_boundary,0.1,42,3,0.1,graph_aware,lambda_ablation,
0.904093902089894,0.875,0.020527859237536656,0.04011461318051576,0.506413252470976,"[[6302, 2], [668, 14]]",0.8709170363368416,fedavg_boundary,0.1,42,3,0.5,graph_aware,lambda_ablation,
0.9028056112224448,0.8,0.005865102639296188,0.011644832605531296,0.4954224467783126,"[[6303, 1], [678, 4]]",0.8682433626836568,fedavg_boundary,0.1,42,3,1.0,graph_aware,lambda_ablation,
0.9025193243630117,0.6666666666666666,0.002932551319648094,0.00583941605839416,0.3440775332535232,"[[6303, 1], [680, 2]]",0.8252664137279129,local_only,0.1,42,2,0.0,graph_aware,institution_count_ablation,
0.9098196392785571,0.782608695652174,0.10557184750733138,0.18604651162790697,0.470095680034841,"[[6284, 20], [610, 72]]",0.8605770483201096,fedavg,0.1,42,2,0.0,graph_aware,institution_count_ablation,
0.9095333524191239,0.7777777777777778,0.10263929618768329,0.18134715025906736,0.4679173055573857,"[[6284, 20], [612, 70]]",0.8608394149039105,fedavg_boundary,0.1,42,2,0.05,graph_aware,institution_count_ablation,
0.9025193243630117,0.6,0.004398826979472141,0.008733624454148471,0.3434493124128093,"[[6302, 2], [679, 3]]",0.8296822201050955,local_only,0.1,42,3,0.0,graph_aware,institution_count_ablation,
0.9086744918408245,0.8333333333333334,0.08064516129032258,0.14705882352941177,0.49503639999227195,"[[6293, 11], [627, 55]]",0.8668843130833469,fedavg,0.1,42,3,0.0,graph_aware,institution_count_ablation,
0.9079587746922416,0.8545454545454545,0.0689149560117302,0.12754409769335143,0.4990418568673637,"[[6296, 8], [635, 47]]",0.8679930910132934,fedavg_boundary,0.1,42,3,0.05,graph_aware,institution_count_ablation,
0.9022330375035786,0.46153846153846156,0.008797653958944282,0.017266187050359712,0.31225259105423825,"[[6297, 7], [676, 6]]",0.8189677549607753,local_only,0.1,42,5,0.0,graph_aware,institution_count_ablation,
0.905811623246493,0.8,0.0469208211143695,0.0886426592797784,0.47687914589936864,"[[6296, 8], [650, 32]]",0.8581085230063862,fedavg,0.1,42,5,0.0,graph_aware,institution_count_ablation,
0.905811623246493,0.8,0.0469208211143695,0.0886426592797784,0.47537197287716315,"[[6296, 8], [650, 32]]",0.8580345579588251,fedavg_boundary,0.1,42,5,0.05,graph_aware,institution_count_ablation,
